Frequency (Hz)	Level (dB)
4921.875000	-59.506165
4968.750000	-59.407768
5015.625000	-59.580524
5062.500000	-59.373188
5109.375000	-58.780537
5156.250000	-58.615944
5203.125000	-58.915340
5250.000000	-59.644585
5296.875000	-59.880749
5343.750000	-59.957077
5390.625000	-59.291821
5437.500000	-58.833096
5484.375000	-59.298882
5531.250000	-59.551521
5578.125000	-60.103325
5625.000000	-60.762039
5671.875000	-60.502449
5718.750000	-61.061108
5765.625000	-60.491280
5812.500000	-60.245193
5859.375000	-59.951176
5906.250000	-59.576130
5953.125000	-59.601357
6000.000000	-59.543297
6046.875000	-59.587963
6093.750000	-59.066071
6140.625000	-59.069443
6187.500000	-59.444530
6234.375000	-59.705830
6281.250000	-59.487602
6328.125000	-59.425163
6375.000000	-59.632187
6421.875000	-59.770500
6468.750000	-58.919697
6515.625000	-57.754936
6562.500000	-60.248539
6609.375000	-60.872936
6656.250000	-59.951870
6703.125000	-59.814262
6750.000000	-59.251236
6796.875000	-58.858025
6843.750000	-58.754242
6890.625000	-59.393677
6937.500000	-60.159050
6984.375000	-60.432629
7031.250000	-60.838966
7078.125000	-60.564407
7125.000000	-60.705269
7171.875000	-60.144222
7218.750000	-60.043110
7265.625000	-59.990295
7312.500000	-59.198509
7359.375000	-59.550507
7406.250000	-60.157372
7453.125000	-60.253796
7500.000000	-60.824409
7546.875000	-60.923706
7593.750000	-61.162388
7640.625000	-60.547756
7687.500000	-60.391685
7734.375000	-59.993942
7781.250000	-59.667915
7828.125000	-59.283524
7875.000000	-60.174343
7921.875000	-60.350792
7968.750000	-60.497066
8015.625000	-60.238228
8062.500000	-60.667782
8109.375000	-60.560291
8156.250000	-60.633430
8203.125000	-60.920887
8250.000000	-60.596928
8296.875000	-60.496742
8343.750000	-61.141895
8390.625000	-60.648022
8437.500000	-59.728298
8484.375000	-60.086258
8531.250000	-60.054192
8578.125000	-60.173923
8625.000000	-61.030308
8671.875000	-61.566238
8718.750000	-61.855782
8765.625000	-62.133083
8812.500000	-62.038662
8859.375000	-61.485481
8906.250000	-61.195736
8953.125000	-61.576683
9000.000000	-61.783531
9046.875000	-61.347038
9093.750000	-61.593864
9140.625000	-62.259808
9187.500000	-62.415287
9234.375000	-61.869480
9281.250000	-61.646503
9328.125000	-61.657452
9375.000000	-61.664196
9421.875000	-61.913403
9468.750000	-61.893051
9515.625000	-61.573685
9562.500000	-61.372349
9609.375000	-61.453606
9656.250000	-61.887543
9703.125000	-62.043148
9750.000000	-60.968487
9796.875000	-61.069218
9843.750000	-61.446152
9890.625000	-61.550671
9937.500000	-61.513187
9984.375000	-60.576473
10031.250000	-60.660339
10078.125000	-60.734921
10125.000000	-60.892231
10171.875000	-61.801517
10218.750000	-61.985489
10265.625000	-62.236275
10312.500000	-62.311924
10359.375000	-61.465294
10406.250000	-61.332413
10453.125000	-62.198090
10500.000000	-62.068356
10546.875000	-61.893326
10593.750000	-61.878014
10640.625000	-61.408245
10687.500000	-61.437702
10734.375000	-61.425102
